kernel_id,depth,projlen,support_width,typical_projlen,surprise,surprise_z,kernel_match,kernel_type
1,33,28,29,79.52832031250003,51.52832031250003,17.105487152793284,False,
1,34,27,28,81.91894531249999,54.918945312499986,17.993156057994987,False,
1,35,27,28,84.34472656249986,57.34472656249986,18.48863349268874,False,
1,36,28,29,86.77832031249999,58.778320312499986,18.814294631330622,False,
1,37,27,28,89.20117187499994,62.20117187499994,19.746558333487414,False,
1,38,28,29,91.60742187499994,63.60742187499994,19.820013466431632,False,
1,39,27,28,94.00683593749993,67.00683593749993,20.555267638416964,False,
1,40,27,28,96.39941406249989,69.39941406249989,21.025247737963348,False,
1,41,26,27,98.79101562499996,72.79101562499996,21.680879065935482,False,
1,42,25,26,101.18554687499999,76.18554687499999,22.22514966646649,False,
1,43,22,23,103.6181640625001,81.6181640625001,23.409356875438657,False,
1,44,21,22,106.0234374999999,85.0234374999999,23.869786834516198,False,
1,45,18,19,108.44433593750001,90.44433593750001,25.277617824457565,False,
1,46,16,17,110.84765624999996,94.84765624999996,26.202541291048075,False,
1,47,14,15,113.23632812500001,99.23632812500001,26.977170474023204,False,
1,48,12,13,115.6494140624999,103.6494140624999,27.945325310590952,False,
1,49,10,11,118.04589843749994,108.04589843749994,28.77734882065239,False,
1,50,8,9,120.45898437500001,112.45898437500001,29.668716245671227,False,
1,51,6,7,122.888671875,116.888671875,30.725680406449033,False,
1,52,4,5,125.29394531250003,121.29394531250003,31.50169577843704,False,
1,53,2,3,127.70800781250003,125.70800781250003,32.1812983191704,False,
1,54,0,1,130.1005859375003,130.1005859375003,32.94585569177725,True,delta
2,1,2,3,2.5312499999999996,0.5312499999999996,0.5312499999999996,False,
2,2,4,5,4.919921874999997,0.9199218749999973,0.9199218749999973,False,
2,3,6,7,7.3037109375000036,1.3037109375000036,1.3037109375000036,False,
2,4,8,9,9.718750000000016,1.718750000000016,1.6797930985143905,False,
2,5,10,11,12.133789062500009,2.133789062500009,1.8393917554886752,False,
2,6,12,13,14.56640624999999,2.5664062499999893,2.0284982566610266,False,
2,7,14,15,16.96777343749998,2.9677734374999787,2.166332549480867,False,
2,8,16,17,19.373046874999993,3.373046874999993,2.326975781726993,False,
2,9,17,18,21.783203124999986,4.783203124999986,3.0561683781392803,False,
2,10,18,19,24.19042968749997,6.190429687499972,3.7840119651768793,False,
2,11,17,18,26.592773437500007,9.592773437500007,5.538222031773198,False,
2,12,20,21,29.027343750000007,9.027343750000007,4.897853010075336,False,
2,13,21,22,31.440429687500014,10.440429687500014,5.398373429743448,False,
2,14,22,23,33.83203125000006,11.832031250000057,5.879412421982838,False,
2,15,22,23,36.25781249999999,14.257812499999993,6.893744142231896,False,
2,16,23,24,38.66308593750008,15.663085937500078,7.384239313978615,False,
2,17,22,23,41.05078124999994,19.050781249999943,8.671679884348276,False,
2,18,23,24,43.45703125000002,20.45703125000002,9.117424994528024,False,
2,19,23,24,45.89746093749999,22.897460937499993,9.927423795647789,False,
2,20,24,25,48.301757812499936,24.301757812499936,10.211637119886065,False,
2,21,24,25,50.708007812499964,26.708007812499964,10.852613076872784,False,
2,22,24,25,53.12988281249994,29.129882812499943,11.650153390760993,False,
2,23,25,26,55.54101562499992,30.541015624999922,11.856090431895144,False,
2,24,24,25,57.927734375000014,33.927734375000014,12.865179041633068,False,
2,25,26,27,60.34765625000007,34.34765625000007,12.847241060527448,False,
2,26,27,28,62.732421875000036,35.732421875000036,13.097075727155675,False,
2,27,28,29,65.12402343749994,37.12402343749994,13.317717674544737,False,
2,28,28,29,67.51757812499999,39.517578124999986,13.992376362351711,False,
2,29,28,29,69.90624999999993,41.90624999999993,14.766561039851977,False,
2,30,28,29,72.30664062500004,44.30664062500004,15.504823124518165,False,
2,31,29,30,74.7177734375,45.7177734375,15.70462072399767,False,
2,32,28,29,77.12304687499999,49.123046874999986,16.605465054536058,False,
2,33,29,30,79.52832031250003,50.52832031250003,16.773524320528328,False,
2,34,28,29,81.91894531249999,53.918945312499986,17.665524928962732,False,
2,35,27,28,84.34472656249986,57.34472656249986,18.48863349268874,False,
2,36,25,26,86.77832031249999,61.778320312499986,19.77456167526635,False,
2,37,26,27,89.20117187499994,63.20117187499994,20.064021135846993,False,
2,38,25,26,91.60742187499994,66.60742187499994,20.754810674784842,False,
2,39,26,27,94.00683593749993,68.00683593749993,20.862031379023815,False,
2,40,25,26,96.39941406249989,71.39941406249989,21.63116777409012,False,
2,41,25,26,98.79101562499996,73.79101562499996,21.978730097134576,False,
2,42,24,25,101.18554687499999,77.18554687499999,22.516873629581593,False,
2,43,23,24,103.6181640625001,80.6181640625001,23.122541346759125,False,
2,44,20,21,106.0234374999999,86.0234374999999,24.150530445176685,False,
2,45,19,20,108.44433593750001,89.44433593750001,24.99813522820162,False,
2,46,16,17,110.84765624999996,94.84765624999996,26.202541291048075,False,
2,47,14,15,113.23632812500001,99.23632812500001,26.977170474023204,False,
2,48,12,13,115.6494140624999,103.6494140624999,27.945325310590952,False,
2,49,10,11,118.04589843749994,108.04589843749994,28.77734882065239,False,
2,50,8,9,120.45898437500001,112.45898437500001,29.668716245671227,False,
2,51,6,7,122.888671875,116.888671875,30.725680406449033,False,
2,52,4,5,125.29394531250003,121.29394531250003,31.50169577843704,False,
2,53,2,3,127.70800781250003,125.70800781250003,32.1812983191704,False,
2,54,0,1,130.1005859375003,130.1005859375003,32.94585569177725,True,delta
3,1,2,3,2.5312499999999996,0.5312499999999996,0.5312499999999996,False,
