control_id,depth,projlen,surprise,surprise_z
45,38,93,-1.528320312500071,-0.45752080176145815
45,39,96,-2.134765624999929,-0.631634993677174
45,40,98,-1.7373046875000142,-0.5073710950076314
45,41,101,-2.3183593749999574,-0.6657848905669631
45,42,104,-2.9111328125001137,-0.8239917639546397
45,43,107,-3.4873046875000426,-0.9789481017696978
45,44,110,-4.075195312500213,-1.132377557966807
45,45,112,-3.6708984374999574,-1.0012842197298528
45,46,114,-3.2666015624999005,-0.8842760971047094
45,47,116,-2.854492187499929,-0.7679162598918498
45,48,118,-2.443359374999943,-0.650505765385422
45,49,120,-2.0439453125000995,-0.5391427608096478
45,50,123,-2.666015625000014,-0.6967032367399358
45,51,125,-2.2626953125000284,-0.5881609031627918
45,52,128,-2.8798828125000426,-0.7424891983046666
45,53,130,-2.504882812500071,-0.6380648266914182
45,54,133,-3.091796875,-0.7783565056215853
46,1,3,-0.47460937499999245,-0.47460937499999245
46,2,5,-0.07812499999999822,-0.07812499999999822
46,3,8,-0.6992187499999947,-0.6992187499999947
46,4,10,-0.30859375000000355,-0.295922496960487
46,5,13,-0.9062500000000071,-0.7766230536799609
46,6,15,-0.5039062499999929,-0.38593686706832536
46,7,18,-1.09765625,-0.7913448224341543
46,8,21,-1.678710937499993,-1.1261228031961397
46,9,24,-2.264648437500025,-1.4147570906007274
46,10,26,-1.8701171874999787,-1.1212698105114374
46,11,28,-1.4414062500000142,-0.831183399490701
46,12,31,-2.063476562500014,-1.1294058002354708
46,13,34,-2.657226562500025,-1.387749303361917
46,14,36,-2.241210937499993,-1.1152463975802158
46,15,38,-1.8300781250000284,-0.8748656672083909
46,16,41,-2.437500000000007,-1.1410824279985883
46,17,43,-2.034179687499993,-0.9223494865378878
46,18,46,-2.6376953125000213,-1.1596542532970944
46,19,48,-2.2275390624999503,-0.9463436247018551
46,20,51,-2.8212890625,-1.1645398614655005
46,21,53,-2.4208984374999787,-0.9760342724448262
46,22,56,-3.0429687500000284,-1.1978265961340235
46,23,59,-3.657226562499993,-1.4052844019899813
46,24,61,-3.2792968750000284,-1.2362576093715916
46,25,63,-2.8603515625000355,-1.0602883702276098
46,26,66,-3.4414062500000497,-1.2443595813707515
46,27,69,-4.020507812499915,-1.432483913887669
46,28,71,-3.628906249999929,-1.2804344048161111
46,29,73,-3.2431640625001137,-1.127742504028351
46,30,76,-3.838867187500071,-1.2997238007008616
46,31,78,-3.446289062500014,-1.135879273476765
46,32,80,-3.015625000000014,-0.9776312110041105
46,33,82,-2.603515624999986,-0.8327586016966073
46,34,85,-3.1855468750000995,-1.0006923645078853
46,35,87,-2.799804687499872,-0.8728401119139585
46,36,90,-3.364257812499986,-1.042236238726838
46,37,92,-2.9443359374999716,-0.8959561219966733
46,38,94,-2.528320312500071,-0.756882655437951
46,39,96,-2.134765624999929,-0.631634993677174
46,40,98,-1.7373046875000142,-0.5073710950076314
46,41,100,-1.3183593749999574,-0.37860556119013805
46,42,103,-1.9111328125001137,-0.5409432680507423
46,43,106,-2.4873046875000426,-0.6982304159079901
46,44,108,-2.075195312500213,-0.5766360677401356
46,45,110,-1.6708984374999574,-0.45575879222073806
46,46,113,-2.2666015624999005,-0.6135739376322878
46,47,116,-2.854492187499929,-0.7679162598918498
46,48,118,-2.443359374999943,-0.650505765385422
46,49,121,-3.0439453125000995,-0.8029182921374322
46,50,123,-2.666015625000014,-0.6967032367399358
46,51,125,-2.2626953125000284,-0.5881609031627918
46,52,128,-2.8798828125000426,-0.7424891983046666
46,53,130,-2.504882812500071,-0.6380648266914182
46,54,133,-3.091796875,-0.7783565056215853
47,1,2,0.5253906250000075,0.5253906250000075
47,2,4,0.9218750000000018,0.9218750000000018
47,3,7,0.30078125000000533,0.30078125000000533
47,4,9,0.6914062499999964,0.663016227367156
47,5,12,0.0937499999999929,0.08034031589792026
47,6,14,0.4960937500000071,0.3799533497494474
47,7,16,0.90234375,0.6505361351682905
47,8,19,0.3212890625000071,0.21552902981474098
47,9,21,0.7353515624999751,0.45938425580952996
47,10,23,1.1298828125000213,0.6774460421732492
47,11,26,0.5585937499999858,0.3221117239218592
47,12,29,-0.06347656250001421,-0.034742724569484865
47,13,32,-0.6572265625000249,-0.3432397211181906
47,14,35,-1.241210937499993,-0.6176375474180613
47,15,37,-0.8300781250000284,-0.39681740508385605
47,16,39,-0.4375000000000071,-0.2048096665638519
47,17,41,-0.034179687499992895,-0.01549795104600071
47,18,44,-0.6376953125000213,-0.28036069137468417
47,19,45,0.7724609375000497,0.32817089309041314
47,20,48,0.1787109375,0.07376628405960076
47,21,51,-0.4208984374999787,-0.16969373595147338
47,22,54,-1.0429687500000284,-0.4105516061203979
47,23,56,-0.6572265624999929,-0.25253842524412523
47,24,59,-1.2792968750000284,-0.4822803657762975
47,25,61,-0.8603515625000355,-0.3189191035065043
47,26,63,-0.44140625000004974,-0.1596057124800326
47,27,65,-0.020507812499914735,-0.007306816174767213
47,28,68,-0.628906249999929,-0.22190520901547323
47,29,71,-1.2431640625001137,-0.4322843142511809
47,30,74,-1.838867187500071,-0.6225845628897919
47,31,76,-1.4462890625000142,-0.4766894882457066
47,32,78,-1.0156250000000142,-0.3292540347941335
47,33,81,-1.6035156249999858,-0.5128993338281412
47,34,83,-1.1855468750000995,-0.3724219897341008
47,35,86,-1.799804687499872,-0.5610897545369322
47,36,88,-1.3642578124999858,-0.42264267793944377
47,37,91,-1.9443359374999716,-0.5916579233483806
47,38,93,-1.528320312500071,-0.45752080176145815
47,39,96,-2.134765624999929,-0.631634993677174
47,40,99,-2.737304687500014,-0.799416064815282
47,41,101,-2.3183593749999574,-0.6657848905669631
47,42,103,-1.9111328125001137,-0.5409432680507423
47,43,105,-1.4873046875000426,-0.41751273004628237
47,44,107,-1.0751953125002132,-0.2987653226268
47,45,110,-1.6708984374999574,-0.45575879222073806
47,46,112,-1.2666015624999005,-0.34287177815986636
47,47,115,-1.854492187499929,-0.4988959895773531
47,48,118,-2.443359374999943,-0.650505765385422
47,49,121,-3.0439453125000995,-0.8029182921374322
47,50,123,-2.666015625000014,-0.6967032367399358
47,51,126,-3.2626953125000284,-0.8480990839304616
47,52,129,-3.8798828125000426,-1.0003084384077414
47,53,131,-3.504882812500071,-0.8927932409339108
47,54,133,-3.091796875,-0.7783565056215853
48,1,3,-0.47460937499999245,-0.47460937499999245
48,2,6,-1.0781249999999982,-1.0781249999999982
48,3,8,-0.6992187499999947,-0.6992187499999947
48,4,11,-1.3085937500000036,-1.25486122128813
48,5,13,-0.9062500000000071,-0.7766230536799609
48,6,16,-1.503906249999993,-1.151827083886098
48,7,18,-1.09765625,-0.7913448224341543
48,8,20,-0.6787109374999929,-0.4552968866906994
48,9,23,-1.2646484375000249,-0.790043308463975
48,10,25,-0.8701171874999787,-0.5216978596165418
48,11,28,-1.4414062500000142,-0.831183399490701
48,12,30,-1.0634765625000142,-0.5820742624024777
48,13,33,-1.6572265625000249,-0.8654945122400538
48,14,35,-1.241210937499993,-0.6176375474180613
48,15,37,-0.8300781250000284,-0.39681740508385605
48,16,40,-1.437500000000007,-0.6729460472812201
48,17,41,-0.034179687499992895,-0.01549795104600071
48,18,43,0.3623046874999787,0.15928608958652102
48,19,45,0.7724609375000497,0.32817089309041314
48,20,47,1.1787109375,0.48653499923463456
48,21,49,1.5791015625000213,0.6366468005418795
48,22,51,1.9570312499999716,0.7703608789000403
48,23,53,2.342773437500007,0.9002075515017308
48,24,55,2.7207031249999716,1.0256741214142908
48,25,58,2.1396484374999645,0.7931347965751538
48,26,60,2.5585937499999503,0.9251481564106863
48,27,63,1.9794921875000853,0.7052817326816837
48,28,65,2.371093750000071,0.8366239867851647
48,29,68,1.7568359374998863,0.6109029704145743
48,30,70,2.161132812499929,0.7316939127323477
48,31,72,2.553710937499986,0.8416900822164103
48,32,75,1.9843749999999858,0.6433117295208319
48,33,77,2.396484375000014,0.766537737645723
48,34,80,1.8144531249999005,0.5699835724265759
48,35,83,1.200195312500128,0.3741613175941466
48,36,85,1.6357421875000142,0.5067476632416477
48,37,88,1.0556640625000284,0.32123667259649724
48,38,91,0.47167968749992895,0.14120290559152762
48,39,93,0.865234375000071,0.25600576596433705
48,40,95,1.2626953124999858,0.36876381441532025
48,41,98,0.6816406250000426,0.19575309756351217
48,42,101,0.08886718749988631,0.02515372375705245
48,43,103,0.5126953124999574,0.14392264167713312
48,44,105,0.9248046874997868,0.2569761675998713
48,45,107,1.3291015625000426,0.3625293490429341
48,46,109,1.7333984375000995,0.4692347002573982
48,47,111,2.145507812500071,0.5771850916806336
48,48,114,1.5566406250000568,0.4144309312647581
48,49,116,1.9560546874999005,0.5159593645014894
48,50,119,1.3339843749999858,0.34860682102078283
48,51,121,1.7373046874999716,0.4515918199078879
48,52,123,2.1201171874999574,0.546607002210707
48,53,125,2.495117187499929,0.6355772445210451
48,54,127,2.908203125,0.7321369784400129
49,1,2,0.5253906250000075,0.5253906250000075
49,2,5,-0.07812499999999822,-0.07812499999999822
49,3,7,0.30078125000000533,0.30078125000000533
49,4,10,-0.30859375000000355,-0.295922496960487
49,5,12,0.0937499999999929,0.08034031589792026
49,6,15,-0.5039062499999929,-0.38593686706832536
49,7,18,-1.09765625,-0.7913448224341543
49,8,18,1.321289062500007,0.8863549463201813
49,9,20,1.7353515624999751,1.0840980379462823
49,10,22,2.1298828125000213,1.277017993068145
49,11,24,2.558593749999986,1.4754068473344195
49,12,27,1.9365234374999858,1.059920351096501
49,13,30,1.3427734374999751,0.7012698611255357
49,14,32,1.758789062500007,0.8751890030684022
49,15,34,2.1699218749999716,1.0373273812897486
49,16,36,2.562499999999993,1.1995994755882526
49,17,38,2.965820312500007,1.34477935219183
49,18,39,4.362304687499979,1.9178732134313417
49,19,40,5.77246093750005,2.452361756077527
49,20,43,5.1787109375,2.1376098599347695
49,21,46,4.579101562500021,1.8461576052819089
49,22,49,3.9570312499999716,1.5576358689136658
49,23,52,3.342773437500007,1.2844562104170163
49,24,54,3.7207031249999716,1.4026627432119378
49,25,56,4.1396484374999645,1.5345040632962592
49,26,59,3.5585937499999503,1.2867327793742593
49,27,61,3.9794921875000853,1.4178702815381345
49,28,63,4.371093750000071,1.5423101173189233
49,29,66,3.7568359374998863,1.3063611601917444
49,30,68,4.161132812499929,1.4088331505434175
49,31,71,3.553710937499986,1.1712849748319394
49,32,73,3.984374999999986,1.291688905730809
49,33,76,3.396484375000014,1.0863970055141892
49,34,78,3.8144531249999005,1.1982539472003604
49,35,81,3.200195312500128,0.9976620323481992
49,36,83,3.635742187500014,1.126341224029042
49,37,85,4.055664062500028,1.2341312685413752
49,38,87,4.471679687499929,1.338650320297499
49,39,89,4.865234375000071,1.4395267788196853
49,40,91,5.262695312499986,1.5369436936459226
